CHR	原始拆分	替换拆分
栲	木者一ㄋㄋㄋ	木者一ㄋㄋㄋ
眄	目正ㄋㄋㄋㄋ	目正ㄋㄋㄋㄋ
暾	日ㄋ丨一丿	日ㄋ丨一丿
棻	艹分一丨丿丶	艹分一丨丿丶
炆	火文丶一丿丶	火文丶一丿丶
莳	艹日一丨丶丶	艹日一丨丶丶
侑	亻石丨ㄋ一一	亻石丨ㄋ一一
鳉	鱼北丿ㄋ丶一	鱼北丿ㄋ丶一
纮	纟石ㄋ丶丶丶	纟石ㄋ丶丶丶
镝	金立丨ㄋ一丨	金立丨ㄋ一丨
瞵	目米丿ㄋ丶一	目米丿ㄋ丶一
觜	此角丿ㄋ丿ㄋ	此角丿ㄋ丿ㄋ
筲	丨ㄋ一一	丨ㄋ一一
撄	扌贝丨ㄋ丿丶	扌贝丨ㄋ丿丶
貔	豸丿丶一一	豸丿丶一一
蓊	艹公ㄋ丶一ㄋ	艹公ㄋ丶一ㄋ
秭	禾弓丶丿ㄋ一	禾弓丶丿ㄋ一
翥	者者一丨一丿	者者一丨一丿
蹓	留丨ㄋ一丨	留丨ㄋ一丨
桷	木角丿ㄋ丿ㄋ	木角丿ㄋ丿ㄋ
砑	石牙一ㄋ丨丿	石牙一ㄋ丨丿
陬	耳耳ㄋ丶丶丶	耳耳ㄋ丶丶丶
喆	吉吉一丨一丨	吉吉一丨一丨
槃	舟殳一丨丿丶	舟殳一丨丿丶
垌	土冂一丨ㄋ一	土冂一丨ㄋ一
坭	土尸丿ㄋㄋㄋ	土尸丿ㄋㄋㄋ
雩	二ㄋㄋㄋㄋ	二ㄋㄋㄋㄋ
璟	王日丶一丨ㄋ	王日丶一丨ㄋ
屌	尸口丨ㄋ丨丨	尸口丨ㄋ丨丨
贶	贝口丿ㄋㄋㄋ	贝口丿ㄋㄋㄋ
瘗	疒夹丿丶一丨	疒夹丿丶一丨
絜	丰刀ㄋㄋ丶丨	丰刀ㄋㄋ丶丨
絷	执糸ㄋㄋ丶丨	执糸ㄋㄋ丶丨
罍	田田丨ㄋ一丨	田田丨ㄋ一丨
珙	王共一丨丨一	王共一丨丨一
琚	王尸一丨丨ㄋ	王尸一丨丨ㄋ
酹	西爪一丨丶丶	西爪一丨丶丶
飏	几乂ㄋ丿丿丿	几乂ㄋ丿丿丿
犴	犬舌一一丨丨	犬舌一一丨丨
觚	角爪丿丿ㄋ丶	角爪丿丿ㄋ丶
歃	舌鼠丿ㄋ丿丶	舌鼠丿ㄋ丿丶
尻	尸九丿ㄋㄋㄋ	尸九丿ㄋㄋㄋ
酲	西口一一丨一	西口一一丨一
鳜	鱼广丶丿一ㄋ	鱼广丶丿一ㄋ
蝾	虫萝一丨丿丶	虫萝一丨丿丶
毳	毛毛丿一一ㄋ	毛毛丿一一ㄋ
鲽	鱼甘ㄋ一丨丿	鱼甘ㄋ一丨丿
貅	豸亻一丨丿丶	豸亻一丨丿丶
髫	长刀丨ㄋ一一	长刀丨ㄋ一一
沔	氵正ㄋㄋㄋㄋ	氵正ㄋㄋㄋㄋ
鬲	鬲一丨ㄋ一丨	鬲一丨ㄋ一丨
刳	大二ㄋ丨丨丨	大二ㄋ丨丨丨
黥	黑京丶一丨ㄋ	黑京丶一丨ㄋ
鲙	鱼人一一ㄋ丶	鱼人一一ㄋ丶
棰	木垂丿一丨一	木垂丿一丨一
禊	衤丰ㄋ丿一丿	衤丰ㄋ丿一丿
颡	双双一丨丿丶	双双一丨丿丶
鲭	鱼青一一丨一	鱼青一一丨一
觇	占见丨ㄋ丿ㄋ	占见丨ㄋ丿ㄋ
骀	马厶丨ㄋ一一	马厶丨ㄋ一一
柽	木双一丨一一	木双一丨一一
颙	日内一丿丨ㄋ	日内一丿丨ㄋ
棼	林分丿丶ㄋ丿	林分丿丶ㄋ丿
杌	木笔丿ㄋㄋㄋ	木笔丿ㄋㄋㄋ
妁	女勹丶丶丶丶	女勹丶丶丶丶
巯	轻亡丿丨ㄋㄋ	轻亡丿丨ㄋㄋ
泺	氵留丨丿丶丶	氵留丨丿丶丶
觌	十㇉丶丶一丿	十Z丶丶一丿
捽	扌亠丿丶丿丶	扌亠丿丶丿丶
堠	土亻ㄋ一丿一	土亻ㄋ一丿一
埒	土爪一丨丶丶	土爪一丨丶丶
鲵	鱼鼠丿ㄋㄋㄋ	鱼鼠丿ㄋㄋㄋ
幪	巾萝一一丿ㄋ	巾萝一一丿ㄋ
萜	艹巾丨一丨ㄋ	艹巾丨一丨ㄋ
葸	艹田丶ㄋ丶丶	艹田丶ㄋ丶丶
吖	口冫丨丨丨丨	口冫丨丨丨丨
桴	木爪ㄋ丨一一	木爪ㄋ丨一一
谮	讠旡一ㄋ丿ㄋ	讠旡一ㄋ丿ㄋ
湲	氵爪一一丿ㄋ	氵爪一一丿ㄋ
跂	十ㄋ丶丶丶	十ㄋ丶丶丶
茆	艹留丿ㄋ丿ㄋ	艹留丿ㄋ丿ㄋ
蓐	艹辰一丨丶丶	艹辰一丨丶丶
椹	木其ㄋㄋㄋㄋ	木其ㄋㄋㄋㄋ
柝	木丘丶丶丶丶	木丘丶丶丶丶
岈	山牙一ㄋ丨丿	山牙一ㄋ丨丿
踣	立丨ㄋ一一	立丨ㄋ一一
蒹	艹兼丶丿一ㄋ	艹兼丶丿一ㄋ
舁	鼠开一丿丨丨	鼠开一丿丨丨
毽	毛聿ㄋ丶丶丶	毛聿ㄋ丶丶丶
妣	女比一ㄋ丿ㄋ	女比一ㄋ丿ㄋ
禛	衤直丿丶丶丶	衤直丿丶丶丶
怍	忄乍丿一丨一	忄乍丿一丨一
埝	土令丶ㄋ丶丶	土令丶ㄋ丶丶
醅	西立丨ㄋ一一	西立丨ㄋ一一
磻	石釆丨ㄋ一丨	石釆丨ㄋ一丨
埕	土口一一丨一	土口一一丨一
圯	土巴ㄋ一ㄋㄋ	土巴ㄋ一ㄋㄋ
鲳	鱼日丨ㄋ一一	鱼日丨ㄋ一一
膦	月米丿ㄋ丶一	月米丿ㄋ丶一
燊	火火丶丿丿丶	火火丶丿丿丶
莨	艹笔ㄋ一一ㄋ	艹笔ㄋ一一ㄋ
苾	艹心丿丿丿丿	艹心丿丿丿丿
藨	艹鹿丶丶丶丶	艹鹿丶丶丶丶
殂	歹目丨ㄋ一一	歹目丨ㄋ一一
铖	金戊ㄋㄋㄋㄋ	金戊ㄋㄋㄋㄋ
眚	生目丨ㄋ一一	生目丨ㄋ一一
硚	石天丿丨丨丨	石天丿丨丨丨
鲉	鱼甲丨ㄋ一丨	鱼甲丨ㄋ一丨
呣	口母ㄋㄋ丶一	口母ㄋㄋ丶一
摽	扌西一一丨丿	扌西一一丨丿
缑	纟亻ㄋ一丿一	纟亻ㄋ一丿一
铊	金宀丿ㄋㄋㄋ	金宀丿ㄋㄋㄋ
骎	马尹丶ㄋㄋ丶	马尹丶ㄋㄋ丶
縠	笔ㄋㄋ丶丨	笔ㄋㄋ丶丨
悛	忄厶丿丶丿ㄋ	忄厶丿丶丿ㄋ
怿	忄双一一丨丨	忄双一一丨丨
拶	扌川丿ㄋ丶丶	扌川丿ㄋ丶丶
窅	穴目丨ㄋ一一	穴目丨ㄋ一一
旻	日文丶一丿丶	日文丶一丿丶
玠	王人丿丨丨丨	王人丿丨丨丨
遘	共冂一丨一丶	共冂一丨一丶
蔌	艹束丿ㄋ丿丶	艹束丿ㄋ丿丶
辋	车冂丶丿一丶	车冂丶丿一丶
翛	亻文ㄋ丶一ㄋ	亻文ㄋ丶一ㄋ
狨	犬戋一丿丿丿	犬戋一丿丿丿
绐	纟厶丨ㄋ一一	纟厶丨ㄋ一一
叻	口力ㄋ丿丿丿	口力ㄋ丿丿丿
糨	米弓丨ㄋ一丨	米弓丨ㄋ一丨
悫	几丶ㄋ丶丶	几丶ㄋ丶丶
祧	衤儿丶一丿丶	衤儿丶一丿丶
瑱	王直丿丶丶丶	王直丿丶丶丶
媵	月ㄋ丿一一	月ㄋ丿一一
猁	犬禾丨丨丨丨	犬禾丨丨丨丨
狴	犬比一丨一一	犬比一丨一一
鸮	口丂丿ㄋ丶ㄋ	口丂丿ㄋ丶ㄋ
柁	木宀丿ㄋㄋㄋ	木宀丿ㄋㄋㄋ
砼	石人一丨一一	石人一丨一一
祓	衤石ㄋ丶丶丶	衤石ㄋ丶丶丶
圹	土广丶一丿丿	土广丶一丿丿
娈	亦女ㄋ丿一一	亦女ㄋ丿一一
隰	耳日ㄋㄋ丶丶	耳日ㄋㄋ丶丶
阼	耳乍丿一丨一	耳乍丿一丨一
崄	巾亼丶丶丿一	巾亼丶丶丿一
浥	氵口ㄋ丨一ㄋ	氵口ㄋ丨一ㄋ
炘	火丘丿丿一丨	火丘丿丿一丨
犇	牛牛丿一一丨	牛牛丿一一丨
碁	其石一丿丨ㄋ	其石一丿丨ㄋ
垱	土ㄋ一一一	土ㄋ一一一
箨	扌ㄋ丶一一	扌ㄋ丶一一
郫	卑耳ㄋ丨丨丨	卑耳ㄋ丨丨丨
茀	艹弓丿丨丨丨	艹弓丿丨丨丨
轺	车刀丨ㄋ一一	车刀丨ㄋ一一
侉	亻大一一ㄋㄋ	亻大一一ㄋㄋ
廨	广角ㄋ丿丿一	广角ㄋ丿丿一
铌	金尸丿ㄋㄋㄋ	金尸丿ㄋㄋㄋ
桄	木光丨丶丿一	木光丨丶丿一
昃	日广丿丶丶丶	日广丿丶丶丶
囷	口禾一丨丿丶	口禾一丨丿丶
簋	艮丨ㄋ丨丨	艮丨ㄋ丨丨
甍	萝冖一ㄋㄋ丶	萝冖一ㄋㄋ丶
薤	艹歹丨一一一	艹歹丨一一一
蚺	虫冂一丨一一	虫冂一丨一一
纻	纟宀一一一一	纟宀一一一一
椟	木十ㄋ丶丶一	木十ㄋ丶丶一
岍	山开一一丿丨	山开一一丿丨
揎	扌宀一丨ㄋ一	扌宀一丨ㄋ一
黻	业米一丿ㄋ丶	业米一丿ㄋ丶
酤	西古一丨丨ㄋ	西古一丨丨ㄋ
貊	豸笔丿丨ㄋ一	豸笔丿丨ㄋ一
陔	耳亥丶一ㄋ丿	耳亥丶一ㄋ丿
鹢	䒑八丨ㄋ丨丨	首八丨ㄋ丨丨
烝	了水一丶丶丶	了水一丶丶丶
燋	火隹丶丶丶丶	火隹丶丶丶丶
矇	目艹一丨丨丨	目艹一丨丨丨
瘌	疒束丨丨丨丨	疒束丨丨丨丨
衒	彳亠ㄋㄋ丶一	彳亠ㄋㄋ丶一
蜩	虫冂一丨一丨	虫冂一丨一丨
秕	禾比一ㄋ丿ㄋ	禾比一ㄋ丿ㄋ
纩	纟广丶一丿丿	纟广丶一丿丿
摅	扌虍丶ㄋ丶丶	扌虍丶ㄋ丶丶
邴	丙人ㄋ丨丨丨	丙人ㄋ丨丨丨
醑	西走丨ㄋ一一	西走丨ㄋ一一
亶	亠回丨ㄋ一一	亠回丨ㄋ一一
佺	亻人一一丨一	亻人一一丨一
聱	敖耳一丨丨一	敖耳一丨丨一
俜	亻甲一ㄋㄋㄋ	亻甲一ㄋㄋㄋ
猞	犬亼一丨丨ㄋ	犬亼一丨丨ㄋ
绠	纟更一丨ㄋ一	纟更一丨ㄋ一
绖	纟至一ㄋ丶一	纟至一ㄋ丶一
镪	金弓丨ㄋ一一	金弓丨ㄋ一一
喈	口比丿丨ㄋ一	口比丿丨ㄋ一
蓥	萝金丿丶一一	萝金丿丶一一
栳	木者丿ㄋㄋㄋ	木者丿ㄋㄋㄋ
溽	氵辰一丨丶丶	氵辰一丨丶丶
悃	忄口一丨丿丶	忄口一丨丿丶
堙	土西一丨一一	土西一丨一一
赪	赤卜丨ㄋ丿丶	赤卜丨ㄋ丿丶
褙	衤北丨ㄋ一一	衤北丨ㄋ一一
鲊	鱼乍丿一丨一	鱼乍丿一丨一
瞀	矛文丨ㄋ一一	矛文丨ㄋ一一
畤	田土一丨丶丶	田土一丨丶丶
彿	彳弓丿丨丨丨	彳弓丿丨丨丨
萁	艹其一丨丨一	艹其一丨丨一
戽	户冫一丨丨丨	户冫一丨丨丨
绁	纟甘ㄋㄋㄋㄋ	纟甘ㄋㄋㄋㄋ
铗	金夹丿丶丶丶	金夹丿丶丶丶
卺	了水一丶丶丶	了水一丶丶丶
骟	马户ㄋ丶一ㄋ	马户ㄋ丶一ㄋ
滹	氵虍丿丶丿一	氵虍丿丶丿一
泚	氵此丨一丨一	氵此丨一丨一
醌	西日一ㄋ丿ㄋ	西日一ㄋ丿ㄋ
愔	忄音丶一丶丿	忄音丶一丶丿
浬	氵田丨ㄋ一一	氵田丨ㄋ一一
麹	丰文丿ㄋ丶丿	丰文丿ㄋ丶丿
躔	广丨ㄋ一一	广丨ㄋ一一
躞	火丶一一一	火丶一一一
躐	川丨ㄋ一ㄋ	川丨ㄋ一ㄋ
瘰	疒田ㄋㄋ丶丨	疒田ㄋㄋ丶丨
蓂	萝日丶一丿丶	萝日丶一丿丶
鞬	革聿ㄋ丶丶丶	革聿ㄋ丶丶丶
彖	彑豕丿ㄋ丿丿	彑豕丿ㄋ丿丿
鹣	兼鸟丿ㄋ丶ㄋ	兼鸟丿ㄋ丶ㄋ
缵	纟先丿一丨一	纟先丿一丨一
槠	木讠一丨一丿	木讠一丨一丿
皲	冖车ㄋ丿丨ㄋ	冖车ㄋ丿丨ㄋ
澌	氵其丿丿一丨	氵其丿丿一丨
漭	氵艹一丿丶丶	氵艹一丿丶丶
洎	氵自丿丨ㄋ一	氵自丿丨ㄋ一
豨	豕乂丨ㄋ丨丨	豕乂丨ㄋ丨丨
囝	口子ㄋ丨一一	口子ㄋ丨一一
刬	戋刂丨丨丨丨	戋刂丨丨丨丨
嚭	壴口一丿丨丶	壴口一丿丨丶
堃	方方一丨一一	方方一丨一一
籀	扌丿ㄋ丶ㄋ	扌丿ㄋ丶ㄋ
籥	合丨ㄋ一丨	合丨ㄋ一丨
郇	勹隹ㄋ丨丨丨	勹隹ㄋ丨丨丨
坌	分土一丨一一	分土一丨一一
詟	龙讠丶一一一	龙讠丶一一一
阇	门者一丨一丿	门者一丨一丿
枧	木见丨ㄋ丿ㄋ	木见丨ㄋ丿ㄋ
晡	日甫一丨ㄋ一	日甫一丨ㄋ一
崦	山大丨ㄋ一一	山大丨ㄋ一一
裒	亠鼠丿ㄋ丿丶	亠鼠丿ㄋ丿丶
襻	衤木丿丶丿丶	衤木丿丶丿丶
埗	土止丨丿丿丿	土止丨丿丿丿
飐	几乂丨一丨ㄋ	几乂丨一丨ㄋ
瞢	萝目丨ㄋ一一	萝目丨ㄋ一一
茌	荷土一丨一一	荷土一丨一一
蝓	虫亼丨ㄋ一一	虫亼丨ㄋ一一
靺	革笔一丨丿丶	革笔一丨丿丶
扆	户衣丶一丿ㄋ	户衣丶一丿ㄋ
嗞	口䒑ㄋㄋ丶ㄋ	口首ㄋㄋ丶ㄋ
挢	扌天丿丨丨丨	扌天丿丨丨丨
埴	土直一丨丨ㄋ	土直一丨丨ㄋ
蝥	矛文丨ㄋ一丨	矛文丨ㄋ一丨
脶	月口丨ㄋ丿丶	月口丨ㄋ丿丶
悰	忄宀一一丨丿	忄宀一一丨丿
冇	石冂丨ㄋㄋㄋ	石冂丨ㄋㄋㄋ
跬	圭一丨一一	圭一丨一一
蝰	虫大一丨一一	虫大一丨一一
儇	亻鬲丿ㄋ丿丶	亻鬲丿ㄋ丿丶
梃	木王ㄋ丶丶丶	木王ㄋ丶丶丶
旰	日舌一一丨丨	日舌一一丨丨
忮	忄十ㄋ丶丶丶	忄十ㄋ丶丶丶
埏	土笔丨一丨一	土笔丨一丨一
埸	土日丿ㄋ丿丿	土日丿ㄋ丿丿
谳	讠十丨ㄋ丶丿	讠十丨ㄋ丶丿
酎	西寸一丨丶丶	西寸一丨丶丶
舣	舟义丶丿丶丶	舟义丶丿丶丶
尪	尢王一一丨一	尢王一一丨一
崁	山土丿ㄋ丿丶	山土丿ㄋ丿丶
擿	扌立丨ㄋ丿丶	扌立丨ㄋ丿丶
牤	牛亡丶一ㄋㄋ	牛亡丶一ㄋㄋ
赆	贝尺丶丶丶丶	贝尺丶丶丶丶
癃	疒耳丿ㄋ丶丿	疒耳丿ㄋ丶丿
髹	长亻一丨丿丶	长亻一丨丿丶
钽	金旦丨ㄋ一一	金旦丨ㄋ一一
泖	氵留丿ㄋ丿ㄋ	氵留丿ㄋ丿ㄋ
豳	山豕一丿ㄋ丿	山豕一丿ㄋ丿
祼	衤日一丨丿丶	衤日一丨丿丶
罽	四广丶丿丿丶	四广丶丿丿丶
畎	田犬一丿丶丶	田犬一丿丶丶
酞	西大丶丶丶丶	西大丶丶丶丶
舡	舟工一丨一一	舟工一丨一一
舳	舟甲丨ㄋ一丨	舟甲丨ㄋ一丨
崟	山金丿丶一一	山金丿丶一一
抃	扌笔一丨丶丶	扌笔一丨丶丶
簏	鹿丶一丿ㄋ	鹿丶一丿ㄋ
亍	于一一丨丨丨	于一一丨丨丨
邠	分耳ㄋ丨丨丨	分耳ㄋ丨丨丨
丌	兀一丿丨丨丨	兀一丿丨丨丨
缊	纟日丨ㄋ丨丨	纟日丨ㄋ丨丨
哕	口山丿ㄋ丶丶	口山丿ㄋ丶丶
糸	糸ㄋㄋ丶丨丿	糸ㄋㄋ丶丨丿
曈	日立丨ㄋ一一	日立丨ㄋ一一
洇	氵因丨ㄋ一丿	氵因丨ㄋ一丿
罨	四大丨ㄋ一一	四大丨ㄋ一一
邽	圭耳ㄋ丨丨丨	圭耳ㄋ丨丨丨
鞳	革艹丿丶一丨	革艹丿丶一丨
亹	亠冂一丨ㄋ一	亠冂一丨ㄋ一
嵚	山金丿ㄋ丿丶	山金丿ㄋ丿丶
涴	氵宀丿ㄋ丶ㄋ	氵宀丿ㄋ丶ㄋ
沢	氵尺ㄋ一丿丶	氵尺ㄋ一丿丶
璺	鼠冂一丨ㄋ一	鼠冂一丨ㄋ一
筚	比一丨丨丨	比一丨丨丨
鞮	革是丨ㄋ一一	革是丨ㄋ一一
缌	纟田丶ㄋ丶丶	纟田丶ㄋ丶丶
绋	纟弓丿丨丨丨	纟弓丿丨丨丨
幞	巾业丶丿一一	巾业丶丿一一
耧	未米ㄋ丿一一	未米ㄋ丿一一
驵	马目丨ㄋ一一	马目丨ㄋ一一
栝	木舌丿一丨丨	木舌丿一丨丨
枘	木内丨ㄋ丿丶	木内丨ㄋ丿丶
旸	日㇉丿丿丿丿	日Z丿丿丿丿
岜	山巴ㄋ丨一ㄋ	山巴ㄋ丨一ㄋ
鲥	鱼日一丨丶丶	鱼日一丨丶丶
洿	氵大一一ㄋㄋ	氵大一一ㄋㄋ
溦	氵山一丿ㄋ丿	氵山一丿ㄋ丿
擐	扌四一丨ㄋ一	扌四一丨ㄋ一
疔	疒于一丨丨丨	疒于一丨丨丨
瘆	疒厶丿丿丿丿	疒厶丿丿丿丿
蔟	艹族丿一一丿	艹族丿一一丿
蓠	艹㐫丨ㄋㄋ丶	艹离丨ㄋㄋ丶
椠	车丘一丨丿丶	车丘一丨丿丶
轹	车留丨丿丶丶	车留丨丿丶丶
豇	豆工一丨一一	豆工一丨一一
锞	金日一丨丿丶	金日一丨丿丶
唣	口白一ㄋㄋㄋ	口白一ㄋㄋㄋ
檑	木丨ㄋ一丨	木丨ㄋ一丨
贳	甘乙丨ㄋ丿丶	甘乙丨ㄋ丿丶
泐	氵耳ㄋ丿丿丿	氵耳ㄋ丿丿丿
祎	衤韦一一ㄋ丨	衤韦一一ㄋ丨
祲	衤尹丶ㄋㄋ丶	衤尹丶ㄋㄋ丶
霅	讠丶一一一	讠丶一一一
亸	子丶丿丨ㄋ	子丶丿丨ㄋ
卬	留卩ㄋ丨丨丨	留卩ㄋ丨丨丨
垚	土土一丨一一	土土一丨一一
楯	木广一丨丨ㄋ	木广一丨丨ㄋ
欸	厶矢丿ㄋ丿丶	厶矢丿ㄋ丿丶
沚	氵止丨一丨一	氵止丨一丨一
潾	氵米丿ㄋ丶一	氵米丿ㄋ丶一
璘	王米丿ㄋ丶一	王米丿ㄋ丶一
觏	共冂一丨一丨	共冂一丨一丨
篚	匚丨一一一	匚丨一一一
蹁	户丨ㄋ一丨	户丨ㄋ一丨
疬	疒广ㄋ丿丿丿	疒广ㄋ丿丿丿
瘳	疒羽丿丶丿丿	疒羽丿丶丿丿
菉	艹尹丨ㄋ丿丶	艹尹丨ㄋ丿丶
缳	纟鬲丿ㄋ丿丶	纟鬲丿ㄋ丿丶
唛	口丰丿ㄋ丶丶	口丰丿ㄋ丶丶
耜	未吅丨ㄋ一ㄋ	未吅丨ㄋ一ㄋ
枨	木长丿一ㄋ丶	木长丿一ㄋ丶
眊	目毛丿一一ㄋ	目毛丿一一ㄋ
禋	衤西一丨一一	衤西一丨一一
攮	扌丨ㄋ一丨	扌丨ㄋ一丨
袪	衤去一丨一ㄋ	衤去一丨一ㄋ
襕	衤门一丨ㄋ一	衤门一丨ㄋ一
俶	亻上丨丿丶ㄋ	亻上丨丿丶ㄋ
倕	亻垂丿一丨一	亻垂丿一丨一
夐	鱼黑丨ㄋ一一	鱼黑丨ㄋ一一
惛	忄氏丨ㄋ一一	忄氏丨ㄋ一一
曌	日月丶丶ㄋ丿	日月丶丶ㄋ丿
黉	共丨ㄋ一丨	共丨ㄋ一丨
赙	贝甫一丨丶丶	贝甫一丨丶丶
瘐	疒鼠丿丶丶丶	疒鼠丿丶丶丶
苈	艹广ㄋ丿丿丿	艹广ㄋ丿丿丿
萆	艹卑丿丨ㄋ一	艹卑丿丨ㄋ一
蜱	虫卑丿丨ㄋ一	虫卑丿丨ㄋ一
桫	木氵丨丿丶丿	木氵丨丿丶丿
潲	氵禾丨丶丿丨	氵禾丨丶丿丨
洫	氵笔丨ㄋ丨丨	氵笔丨ㄋ丨丨
沩	氵笔ㄋ丿丶丶	氵笔ㄋ丿丶丶
嶒	山曾丶丿丨ㄋ	山曾丶丿丨ㄋ
惝	忄丨ㄋ丨ㄋ	忄丨ㄋ丨ㄋ
埤	土卑丿丨ㄋ一	土卑丿丨ㄋ一
珺	王尹丨ㄋ一一	王尹丨ㄋ一一
酺	西甫一丨ㄋ一	西甫一丨ㄋ一
翚	羽冖一ㄋ一丨	羽冖一ㄋ一丨
艨	舟萝一一丿ㄋ	舟萝一一丿ㄋ
瓘	王艹丨ㄋ一丨	王艹丨ㄋ一丨
皦	白白丶一ㄋ丿	白白丶一ㄋ丿
乂	乂丿丶丶丶丶	乂丿丶丶丶丶
羝	羊氏丶丶丶丶	羊氏丶丶丶丶
趵	勹丶丶丶丶	勹丶丶丶丶
蹐	水丿丶丨ㄋ	水丿丶丨ㄋ
跱	土一丨丶丶	土一丨丶丶
瘵	疒一一丨丿	疒祭一一丨丿
瘼	疒莫一丨丨丨	疒莫一丨丨丨
菪	艹宀一丿丨ㄋ	艹宀一丿丨ㄋ
蕞	艹日一丨丨一	艹日一丨丨一
辀	车舟丿丿ㄋ丶	车舟丿丿ㄋ丶
仉	亻几丿ㄋㄋㄋ	亻几丿ㄋㄋㄋ
僇	亻羽丿丶丿丿	亻羽丿丶丿丿
狳	犬亼一丨丿丶	犬亼一丨丿丶
犰	犬九丿ㄋㄋㄋ	犬九丿ㄋㄋㄋ
鞨	革日丿ㄋ丿丶	革日丿ㄋ丿丶
黟	黑歹丿ㄋ丶丶	黑歹丿ㄋ丶丶
綮	户文ㄋㄋ丶丨	户文ㄋㄋ丶丨
镦	金ㄋ丨一丿	金ㄋ丨一丿
鼯	鼠五丨ㄋ一一	鼠五丨ㄋ一一
鸰	令鸟丿ㄋ丶ㄋ	令鸟丿ㄋ丶ㄋ
骍	马辛丶一丶丿	马辛丶一丶丿
鹍	日比丿ㄋ丶ㄋ	日比丿ㄋ丶ㄋ
磡	石其ㄋㄋ丿丿	石其ㄋㄋ丿丿
忭	忄笔一丨丶丶	忄笔一丨丶丶
忉	忄刀ㄋ丿丿丿	忄刀ㄋ丿丿丿
怃	忄笔一丿ㄋㄋ	忄笔一丿ㄋㄋ
擗	扌辟ㄋ一丿丨	扌辟ㄋ一丿丨
掎	扌大一丨ㄋ一	扌大一丨ㄋ一
诐	讠皮ㄋ丿丨ㄋ	讠皮ㄋ丿丨ㄋ
鲻	鱼川丨ㄋ一丨	鱼川丨ㄋ一丨
鲹	鱼厶丿丿丿丿	鱼厶丿丿丿丿
龁	止ㄋㄋㄋㄋ	止ㄋㄋㄋㄋ
盦	令西丨ㄋ丨丨	令西丨ㄋ丨丨
咍	口厶丨ㄋ一一	口厶丨ㄋ一一
壸	亚一丨丨丶	亚一丨丨丶
沄	氵云一一ㄋ丶	氵云一一ㄋ丶
皞	白白一丿丶一	白白一丿丶一
赑	贝贝丨ㄋ丿丶	贝贝丨ㄋ丿丶
芴	艹勿丿ㄋ丿丿	艹勿丿ㄋ丿丿
蒽	艹因丶ㄋ丶丶	艹因丶ㄋ丶丶
蜞	虫其一丨丨一	虫其一丨丨一
夼	大川丿丨丨丨	大川丿丨丨丨
仳	亻比一ㄋ丿ㄋ	亻比一ㄋ丿ㄋ
狃	犬丑ㄋ丨一一	犬丑ㄋ丨一一
庳	广卑丿丨ㄋ一	广卑丿丨ㄋ一
魋	鬼隹丿丨丶一	鬼隹丿丨丶一
帱	巾丰一丨丶丶	巾丰一丨丶丶
镘	金日丨ㄋ丨丨	金日丨ㄋ丨丨
噍	口隹丶丶丶丶	口隹丶丶丶丶
呙	口内丨ㄋ丿丶	口内丨ㄋ丿丶
瀹	氵亼丨ㄋ一丨	氵亼丨ㄋ一丨
屺	山巴ㄋ一ㄋㄋ	山巴ㄋ一ㄋㄋ
碲	石立丨ㄋ丨丨	石立丨ㄋ丨丨
掊	扌立丨ㄋ一一	扌立丨ㄋ一一
垤	土至一ㄋ丶一	土至一ㄋ丶一
窊	穴爪丿丿ㄋ丶	穴爪丿丿ㄋ丶
谫	讠前ㄋ丿丿丿	讠前ㄋ丿丿丿
襜	衤厃丿丶丶一	衤厃丿丶丶一
酾	西丽一丨ㄋ丶	西丽一丨ㄋ丶
霪	氵丿丶丶丿	氵丿丶丶丿
鄠	二ㄋㄋ丨丨	二ㄋㄋ丨丨
吽	口牛丿一一丨	口牛丿一一丨
恓	忄西一丨ㄋ丿	忄西一丨ㄋ丿
浐	氵立一丿丿丿	氵立一丿丿丿
滉	氵日丨丶丿一	氵日丨丶丿一
琇	王禾ㄋ丿丿丿	王禾ㄋ丿丿丿
箅	田丨ㄋ一丨	田丨ㄋ一丨
趼	开一一丿丨	开一一丿丨
蹅	木丨ㄋ一一	木丨ㄋ一一
蒗	落笔ㄋ一一ㄋ	落笔ㄋ一一ㄋ
苘	艹冂丨ㄋ一一	艹冂丨ㄋ一一
薷	艹一丿丨ㄋ	艹一丿丨ㄋ
蚵	虫于丨ㄋ一一	虫于丨ㄋ一一
傒	亻爪ㄋㄋ丶一	亻爪ㄋㄋ丶一
顸	舌页一丿丨ㄋ	舌页一丿丨ㄋ
稃	禾爪ㄋ丨一一	禾爪ㄋ丨一一
焜	火日一ㄋ丿ㄋ	火日一ㄋ丿ㄋ
缋	纟丨ㄋ丿丶	纟丨ㄋ丿丶
绗	纟彳一一丨丨	纟彳一一丨丨
镟	金族丨一丿丶	金族丨一丿丶
哜	口文丿丨丨丨	口文丿丨丨丨
阘	门日ㄋ丶一ㄋ	门日ㄋ丶一ㄋ
楗	木聿ㄋ丶丶丶	木聿ㄋ丶丶丶
氽	人水丨ㄋ丿丶	人水丨ㄋ丿丶
浍	氵人一一ㄋ丶	氵人一一ㄋ丶
滏	氵父一一丨丶	氵父一一丨丶
崚	山土丿丶丿ㄋ	山土丿丶丿ㄋ
撙	扌酋一丨丶丶	扌酋一丨丶丶
摛	扌㐫丨ㄋㄋ丶	扌离丨ㄋㄋ丶
颃	亠几一丿丨ㄋ	亠几一丿丨ㄋ
